yahoo_symbol,fundamentalsFetchedAtUtc,fundamentalsFetchStatus,fundamentalsFetchHttpStatus,fundamentalsFetchError,priceSource,priceFetchedAtUtc,code,name,sector,industry,asset_type,universe_source,payoutRatio,fiveYearAvgDividendYield,exDividendDate,trailingAnnualDividendRate,trailingAnnualDividendYield,dividendRate,dividendYield,beta,marketCap,lastDividendValue,lastDividendDate,enterpriseValue,enterpriseToEbitda,pegRatio,sharesOutstanding,floatShares,heldPercentInsiders,heldPercentInstitutions,shortPercentOfFloat,shortRatio,sharesShort,sharesShortPriorMonth,dateShortInterest,bookValue,priceToBook,trailingEps,forwardEps,freeCashflow,operatingCashflow,ebitda,totalCash,totalDebt,debtToEquity,currentRatio,quickRatio,grossMargins,operatingMargins,profitMargins,returnOnAssets,returnOnEquity,revenueGrowth,earningsGrowth,totalRevenue,targetMeanPrice,targetHighPrice,targetLowPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,financialCurrency,sector_yahoo,industry_yahoo,website,country,fullTimeEmployees,currency,exchangeName,quoteType,regularMarketPrice_qs,numberOfInstitutionsHoldingShares,numberOfInstitutionalHolders,earningsDate,epsEstimate0qAvg,epsEstimate1qAvg,epsEstimate0yAvg,epsEstimate1yAvg,revenueEstimate0qAvg,revenueEstimate1qAvg,revenueEstimate0yAvg,revenueEstimate1yAvg,growthEstimate0q,growthEstimate1q,growthEstimate0y,growthEstimate1y,growthEstimate5y,totalAssets,totalLiabilities,netTangibleAssets,balanceSheetEndDate,balanceSheetFrequency,netDebt,dividendTtmFromEvents,dividendEventsCount,balanceSheetCurrency,balanceSheetAsOfDate,lastDividendDateAwst,lastDividendDateAwstDate,totalAssetsAud,totalLiabilitiesAud,netTangibleAssetsAud,marketCapAud,enterpriseValueAud,lastDividendValueAud
"# ASX universe tickers (Yahoo symbols, .AX)",2026-07-04T16:30:36Z,not_found,404,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# last_extracted_awst: 2026-07-06 12:37 AWST,2026-07-11T16:30:36Z,not_found,404,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# last_extracted_utc: 2026-07-06T04:37:35Z,2026-07-11T16:30:46Z,not_found,404,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# one symbol per line,2026-07-04T16:31:06Z,not_found,404,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10X.AX,2026-07-11T16:30:56Z,ok,200,,,,10X,EXULTANT MINING LIMITED,Materials,Materials,EQUITY,ASXListedCompanies.csv,0.0,{},{},0.0,0.0,{},{},{},6358000,,,2032001,{},{},37400001,24236545,0.49573,0.0,{},{},{},{},{},0.142,1.197183,-0.0,{},{},-114948,{},4291999,0,{},1.129,1.129,0.0,0.0,0.0,{},{},{},{},{},{},{},{},{},none,{},AUD,Basic Materials,Other Industrial Metals & Mining,https://www.exultantmining.com.au,Australia,,AUD,ASX,EQUITY,0.17,0,0,,{},,{},,0.0,,0.0,,,,,,,,33008.0,,,,-4291999.0,,0.0,AUD,2025-06-30,,,,33008.0,,6358000.0,2032001.0,
14D.AX,2026-07-11T16:31:26Z,ok,200,,,,14D,1414 DEGREES LIMITED,Industrials,Capital Goods,EQUITY,ASXListedCompanies.csv,0.0,{},{},0.0,0.0,{},{},1.309,55012932,,,30393204,-5.415,{},670889428,296633878,0.113299996,0.04073,{},{},{},{},{},0.011,7.4545455,-0.02,{},-660964,-3214088,-5612530,933456,817575,19.756,3.603,1.206,0.0,0.0,0.0,-0.46640998,-0.92606,{},{},{},0.085,0.085,0.085,{},none,1,AUD,Utilities,Utilities - Independent Power Producers,https://1414degrees.com.au,Australia,,AUD,ASX,EQUITY,0.082,1,1,,{},,{},,0.0,,0.0,,,,,,,,1895728.0,,1751241600.0,annual,-115881.0,,0.0,AUD,2024-06-30,,,,1895728.0,,55012932.0,30393204.0,
1AD.AX,2026-07-11T16:31:57Z,ok,200,,,,1AD,ADALTA LIMITED,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",EQUITY,ASXListedCompanies.csv,0.0,{},{},0.0,0.0,{},{},0.192,12848676,,,7597682,-1.826,{},3212169031,1609190173,0.28015,0.03588,{},{},{},{},{},-0.0,{},-0.0,-0.03,-944428,-2444094,-4161857,1583394,0,{},0.894,0.894,0.63924,-7.1483803,0.0,-1.22709,{},-0.184,{},608074,{},{},{},{},none,{},AUD,Healthcare,Biotechnology,https://www.adalta.com.au,Australia,1.0,AUD,ASX,EQUITY,0.004,3,3,,{},,{},,0.0,,0.0,,,,,,,2141563.0,,,1625011200.0,annual,-1583394.0,,0.0,AUD,2025-06-30,,,2141563.0,,,12848676.0,7597682.0,
1AE.AX,2026-07-11T16:32:27Z,ok,200,,,,1AE,AURORA ENERGY METALS LIMITED,Materials,Materials,EQUITY,ASXListedCompanies.csv,0.0,{},{},0.0,0.0,{},{},0.862,9311315,,,7850473,-12.265,{},179063737,101088642,0.32582,0.08104999,{},{},{},{},{},0.013,4.0,-0.0,{},-482659,675332,-640071,1460841,0,{},26.757,18.905,1.0,-14.560861,69.87255,-0.20158,-0.34263,1.015,{},11769,{},{},{},{},none,{},AUD,Energy,Uranium,https://www.auroraenergymetals.com,Australia,,AUD,ASX,EQUITY,0.052,2,2,,{},,{},,0.0,,0.0,,,,,,,,,,,,-1460841.0,,0.0,AUD,,,,,,,9311315.0,7850473.0,
1AI.AX,2026-07-11T16:32:56Z,ok,200,,,,1AI,ALGORAE PHARMACEUTICALS LIMITED,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",EQUITY,ASXListedCompanies.csv,0.0,{},{},0.0,0.0,{},{},-0.058,26358422,,,20070716,{},{},2027570988,1166477693,0.33178002,0.0,{},{},{},{},{},0.001,13.0,-0.0,{},-683900,-702896,{},1883174,0,{},17.988,17.18,0.0,0.0,0.0,-0.39620999,-0.47377,{},{},{},{},{},{},{},none,{},AUD,Healthcare,Biotechnology,https://algoraepharma.com,Australia,,AUD,ASX,EQUITY,0.013,0,0,,{},,{},,0.0,,0.0,,,,,,,,,,,,-1883174.0,,0.0,AUD,,,,,,,26358422.0,20070716.0,
1CG.AX,2026-07-11T16:33:26Z,ok,200,,,,1CG,ONE CLICK GROUP LIMITED,Industrials,Capital Goods,EQUITY,ASXListedCompanies.csv,0.0,{},{},0.0,0.0,{},{},-0.636,14380148,,,12861633,-26.801,{},1307286148,838205732,0.37939999,0.08992,{},{},{},{},{},0.003,3.6666665,-0.0,{},-1549891,-863034,-479888,1518515,0,{},3.688,3.589,0.71876,0.13356,-0.11698,-0.076,-0.2178,0.25,{},6124875,{},{},{},{},none,{},AUD,Technology,Software - Application,https://oneclickgroup.com.au,Australia,,AUD,ASX,EQUITY,0.011,2,2,,{},,{},,0.0,,0.0,,,,,,,4529948.0,,,,,-1518515.0,,0.0,AUD,2024-12-31,,,4529948.0,,,14380148.0,12861633.0,
1GOV.AX,2026-07-11T16:33:56Z,ok,200,,,,1GOV,VanEck 1-5 Year Australian Government Bond ETF,,Spotlight ETP List,ETF/ETP,ASXInvestmentProductsMonthlyReport,{},{},{},0.0,0.0,{},{},{},{},0.115,2026-07-01T00:00:00Z,{},{},{},,,,,,,,,,{},{},{},{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,AUD,ASX,ETF,51.34,0,0,,,,,,,,,,,,,,,,,,,,,1.3800000000000001,33.0,AUD,,2026-07-01T08:00:00+08:00,2026-07-01,,,,,,0.115
