code,yahoo_symbol,name,sector,industry,last_extracted_utc,last_extracted_awst,asset_type,source
10X,10X.AX,EXULTANT MINING LIMITED,Materials,Materials,2026-04-20T03:51:00Z,2026-04-20 11:51 AWST,EQUITY,ASXListedCompanies.csv
14D,14D.AX,1414 DEGREES LIMITED,Industrials,Capital Goods,2026-04-20T03:51:00Z,2026-04-20 11:51 AWST,EQUITY,ASXListedCompanies.csv
1AD,1AD.AX,ADALTA LIMITED,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",2026-04-20T03:51:00Z,2026-04-20 11:51 AWST,EQUITY,ASXListedCompanies.csv
1AE,1AE.AX,AURORA ENERGY METALS LIMITED,Materials,Materials,2026-04-20T03:51:00Z,2026-04-20 11:51 AWST,EQUITY,ASXListedCompanies.csv
1AI,1AI.AX,ALGORAE PHARMACEUTICALS LIMITED,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",2026-04-20T03:51:00Z,2026-04-20 11:51 AWST,EQUITY,ASXListedCompanies.csv
1CG,1CG.AX,ONE CLICK GROUP LIMITED,Industrials,Capital Goods,2026-04-20T03:51:00Z,2026-04-20 11:51 AWST,EQUITY,ASXListedCompanies.csv
1GOV,1GOV.AX,VanEck 1-5 Year Australian Government Bond ETF,,Spotlight ETP List,2026-04-20T03:51:00Z,2026-04-20 11:51 AWST,ETF/ETP,ASXInvestmentProductsMonthlyReport
1MC,1MC.AX,MORELLA CORPORATION LIMITED,Materials,Materials,2026-04-20T03:51:00Z,2026-04-20 11:51 AWST,EQUITY,ASXListedCompanies.csv
1TT,1TT.AX,THRIVE TRIBE TECHNOLOGIES LIMITED,Information Technology,Software & Services,2026-04-20T03:51:00Z,2026-04-20 11:51 AWST,EQUITY,ASXListedCompanies.csv
28BB,28BB.AX,Betashares 2028 Fixed Term Corporate Bond Active ETF,,Spotlight ETP List,2026-04-20T03:51:00Z,2026-04-20 11:51 AWST,ETF/ETP,ASXInvestmentProductsMonthlyReport
29BB,29BB.AX,Betashares 2029 Fixed Term Corporate Bond Active ETF,,Spotlight ETP List,2026-04-20T03:51:00Z,2026-04-20 11:51 AWST,ETF/ETP,ASXInvestmentProductsMonthlyReport
29M,29M.AX,29METALS LIMITED,Materials,Materials,2026-04-20T03:51:00Z,2026-04-20 11:51 AWST,EQUITY,ASXListedCompanies.csv
30BB,30BB.AX,Betashares 2030 Fixed Term Corporate Bond Active ETF,,Spotlight ETP List,2026-04-20T03:51:00Z,2026-04-20 11:51 AWST,ETF/ETP,ASXInvestmentProductsMonthlyReport
360,360.AX,LIFE360 INC.,Information Technology,Software & Services,2026-04-20T03:51:00Z,2026-04-20 11:51 AWST,EQUITY,ASXListedCompanies.csv
3DA,3DA.AX,AMAERO LTD,Industrials,Capital Goods,2026-04-20T03:51:00Z,2026-04-20 11:51 AWST,EQUITY,ASXListedCompanies.csv
3DP,3DP.AX,POINTERRA LIMITED,Information Technology,Software & Services,2026-04-20T03:51:00Z,2026-04-20 11:51 AWST,EQUITY,ASXListedCompanies.csv
3PL,3PL.AX,3P LEARNING LIMITED..,Consumer Discretionary,Consumer Services,2026-04-20T03:51:00Z,2026-04-20 11:51 AWST,EQUITY,ASXListedCompanies.csv
49M,49M.AX,49 METALS LIMITED,Materials,Materials,2026-04-20T03:51:00Z,2026-04-20 11:51 AWST,EQUITY,ASXListedCompanies.csv
4DI01,4DI01.AX,4D Global Infrastructure Fund (Unhedged),,Spotlight mFund List,2026-04-20T03:51:00Z,2026-04-20 11:51 AWST,ETF/ETP,ASXInvestmentProductsMonthlyReport
4DS,4DS.AX,4DS MEMORY LIMITED,Information Technology,Semiconductors & Semiconductor Equipment,2026-04-20T03:51:00Z,2026-04-20 11:51 AWST,EQUITY,ASXListedCompanies.csv
4DX,4DX.AX,4DMEDICAL LIMITED,Health Care,Health Care Equipment & Services,2026-04-20T03:51:00Z,2026-04-20 11:51 AWST,EQUITY,ASXListedCompanies.csv
5EA,5EA.AX,5E ADVANCED MATERIALS INC.,Materials,Materials,2026-04-20T03:51:00Z,2026-04-20 11:51 AWST,EQUITY,ASXListedCompanies.csv
5GG,5GG.AX,PENTANET LIMITED,Communication Services,Telecommunication Services,2026-04-20T03:51:00Z,2026-04-20 11:51 AWST,EQUITY,ASXListedCompanies.csv
5GN,5GN.AX,5G NETWORKS LIMITED.,Information Technology,Software & Services,2026-04-20T03:51:00Z,2026-04-20 11:51 AWST,EQUITY,ASXListedCompanies.csv
5GOV,5GOV.AX,VanEck 5-10 Year Australian Government Bond ETF,,Spotlight ETP List,2026-04-20T03:51:00Z,2026-04-20 11:51 AWST,ETF/ETP,ASXInvestmentProductsMonthlyReport
6KA,6KA.AX,"6K ADDITIVE, INC.",Materials,Materials,2026-04-20T03:51:00Z,2026-04-20 11:51 AWST,EQUITY,ASXListedCompanies.csv
88E,88E.AX,88 ENERGY LIMITED,Energy,Energy,2026-04-20T03:51:00Z,2026-04-20 11:51 AWST,EQUITY,ASXListedCompanies.csv
8CO,8CO.AX,8COMMON LIMITED,Information Technology,Software & Services,2026-04-20T03:51:00Z,2026-04-20 11:51 AWST,EQUITY,ASXListedCompanies.csv
8IH,8IH.AX,8I HOLDINGS LTD,Financials,Financial Services,2026-04-20T03:51:00Z,2026-04-20 11:51 AWST,EQUITY,ASXListedCompanies.csv
A11,A11.AX,ATLANTIC LITHIUM LIMITED,Materials,Materials,2026-04-20T03:51:00Z,2026-04-20 11:51 AWST,EQUITY,ASXListedCompanies.csv
A1G,A1G.AX,AFRICAN GOLD LTD.,Materials,Materials,2026-04-20T03:51:00Z,2026-04-20 11:51 AWST,EQUITY,ASXListedCompanies.csv
A1M,A1M.AX,AIC MINES LIMITED,Materials,Materials,2026-04-20T03:51:00Z,2026-04-20 11:51 AWST,EQUITY,ASXListedCompanies.csv
A1N,A1N.AX,ARN MEDIA LIMITED,Communication Services,Media & Entertainment,2026-04-20T03:51:00Z,2026-04-20 11:51 AWST,EQUITY,ASXListedCompanies.csv
A200,A200.AX,Betashares Australia 200 ETF,,Spotlight ETP List,2026-04-20T03:51:00Z,2026-04-20 11:51 AWST,ETF/ETP,ASXInvestmentProductsMonthlyReport
A2M,A2M.AX,THE A2 MILK COMPANY LIMITED,Consumer Staples,"Food, Beverage & Tobacco",2026-04-20T03:51:00Z,2026-04-20 11:51 AWST,EQUITY,ASXListedCompanies.csv
A300,A300.AX,Global X Australia 300 ETF,,Spotlight ETP List,2026-04-20T03:51:00Z,2026-04-20 11:51 AWST,ETF/ETP,ASXInvestmentProductsMonthlyReport
A3D,A3D.AX,AURORA LABS LIMITED,Industrials,Capital Goods,2026-04-20T03:51:00Z,2026-04-20 11:51 AWST,EQUITY,ASXListedCompanies.csv
A4N,A4N.AX,ALPHA HPA LIMITED,Materials,Materials,2026-04-20T03:51:00Z,2026-04-20 11:51 AWST,EQUITY,ASXListedCompanies.csv
A8G,A8G.AX,AUSTRALASIAN METALS LIMITED,Materials,Materials,2026-04-20T03:51:00Z,2026-04-20 11:51 AWST,EQUITY,ASXListedCompanies.csv
AA2,AA2.AX,ARIANA RESOURCES PLC,Materials,Materials,2026-04-20T03:51:00Z,2026-04-20 11:51 AWST,EQUITY,ASXListedCompanies.csv
AAA,AAA.AX,Betashares Australian High Interest Cash ETF,,Spotlight ETP List,2026-04-20T03:51:00Z,2026-04-20 11:51 AWST,ETF/ETP,ASXInvestmentProductsMonthlyReport
AAC,AAC.AX,AUSTRALIAN AGRICULTURAL COMPANY LIMITED.,Consumer Staples,"Food, Beverage & Tobacco",2026-04-20T03:51:00Z,2026-04-20 11:51 AWST,EQUITY,ASXListedCompanies.csv
AAI,AAI.AX,ALCOA CORPORATION,Materials,Materials,2026-04-20T03:51:00Z,2026-04-20 11:51 AWST,EQUITY,ASXListedCompanies.csv
AAJ,AAJ.AX,ARUMA RESOURCES LIMITED,Materials,Materials,2026-04-20T03:51:00Z,2026-04-20 11:51 AWST,EQUITY,ASXListedCompanies.csv
